package,package_version,layer_version_arn,time_to_live
aiobotocore,0.10.3,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiobotocore:1,
aiobotocore,0.11.0,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiobotocore:16,22-01-2020
aiobotocore,0.11.0,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiobotocore:17,05-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiobotocore:18,12-02-2020
aiobotocore,0.11.1,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiobotocore:19,
aiodns,2.0.0,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiodns:5,12-02-2020
aiodns,2.0.0,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiodns:6,
aiohttp,3.6.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiohttp:15,22-01-2020
aiohttp,3.6.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiohttp:16,05-02-2020
aiohttp,3.6.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiohttp:17,12-02-2020
aiohttp,3.6.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-aiohttp:18,
ansible,2.8.3,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-ansible:1,
ansible,2.9.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-ansible:12,12-02-2020
ansible,2.9.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-ansible:13,
arrow,0.14.2,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-arrow:1,
arrow,0.14.4,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-arrow:2,
arrow,0.15.4,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-arrow:8,05-02-2020
arrow,0.15.5,arn:aws:lambda:us-east-1:113088814899:layer:Klayers-python37-arrow:9,
