package,package_version,layer_version_arn,time_to_live
pyparsing,2.4.1.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pyparsing:1,
PyJWT,1.7.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyJWT:1,
itsdangerous,1.1.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-itsdangerous:1,
PyYAML,5.1.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyYAML:1,
pytz,2019.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pytz:3,
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-python-Levenshtein-wheels:1,
google-auth,1.6.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-google-auth:1,
google-auth-oauthlib,0.4.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-google-auth-oauthlib:1,
flashtext,2.7,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-flashtext:1,
jsonrpclib,0.1.7,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-jsonrpclib:1,
pickleDB,0.9.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pickleDB:1,
PyMySQL,0.9.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyMySQL:1,
arrow,0.14.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-arrow:1,
envelopes,0.4,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-envelopes:1,
PyMUPDF,1.14.19,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyMUPDF:1,
python-docx,0.8.10,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-python-docx:1,
pandas,0.25.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pandas:1,
ansible,2.8.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-ansible:1,
scipy,1.3.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-scipy:1,
aiobotocore,0.10.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-aiobotocore:1,
boto3,1.9.197,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:3,
arrow,0.14.4,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-arrow:2,
jellyfish,0.7.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-jellyfish:1,
google-auth-oauthlib,0.4.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-google-auth-oauthlib:2,
boto3,1.9.200,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:4,
boto3,1.9.201,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:5,
boto3,1.9.202,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:6,
boto3,1.9.203,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:7,
boto3,1.9.204,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boto3:8,
pytz,2019.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pytz:5,03-06-2020
Cerberus,1.3.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-Cerberus:2,
textdistance,4.1.5,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-textdistance:1,20-05-2020
ffmpeg-python,0.2.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-ffmpeg-python:4,
simplejson,3.17.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-simplejson:2,
tinydb,3.15.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-tinydb:5,03-06-2020
openpyxl,3.0.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-openpyxl:6,
pymongo,3.10.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pymongo:6,
arrow,0.15.5,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-arrow:10,03-06-2020
loguru,0.4.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-loguru:3,17-06-2020
graphene,2.1.8,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-graphene:7,17-06-2020
construct,2.10.56,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-construct:5,
python-docx,0.8.10,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-python-docx:4,
tablib,1.1.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-tablib:10,17-06-2020
idna,2.9,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-idna:2,
kafka-python,2.0.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-kafka-python:4,
aiohttp,3.6.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-aiohttp:20,17-06-2020
ldap3,2.7,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-ldap3:5,
bcrypt,3.1.7,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-bcrypt:11,
aiodns,2.0.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-aiodns:8,
PyNaCl,1.3.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyNaCl:8,
elasticsearch,7.6.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-elasticsearch:12,20-05-2020
PyYAML,5.3.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-PyYAML:5,
numpy,1.18.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-numpy:8,20-05-2020
pandas,1.0.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pandas:17,20-05-2020
scipy,1.4.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-scipy:11,20-05-2020
beautifulsoup4,4.9.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-beautifulsoup4:12,17-06-2020
boltons,20.1.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-boltons:5,
pyparsing,2.4.7,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pyparsing:5,
crhelper,2.0.5,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-crhelper:2,20-05-2020
requests,2.23.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-requests:13,20-05-2020
Pillow,7.1.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-Pillow:10,27-05-2020
grpcio,1.28.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-grpcio:11,17-06-2020
pyOpenSSL,19.1.0,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pyOpenSSL:16,27-05-2020
pytesseract,0.3.3,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pytesseract:11,20-05-2020
tldextract,2.2.2,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-tldextract:17,20-05-2020
pulp,2.1,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-pulp:5,
opencv-python-headless,4.2.0.34,arn:aws:lambda:us-east-2:113088814899:layer:Klayers-python37-opencv-python-headless:11,20-05-2020
