Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.4.1,deprecated,2021-11-26T02:01:19,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:55
aiobotocore,1.4.1,deprecated,2021-12-03T02:02:23,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:56
aiobotocore,1.4.1,deprecated,2021-12-10T02:02:09,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:57
aiobotocore,1.4.2,deprecated,2021-12-17T02:02:36,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:58
aiobotocore,1.4.2,deprecated,2021-12-31T02:02:13,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:59
aiobotocore,1.4.2,deprecated,2022-01-07T02:01:02,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:60
aiobotocore,2.0.0,latest,,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiobotocore:61
aiohttp,3.7.4.post0,deprecated,2021-12-03T02:01:01,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:30
aiohttp,3.7.4.post0,deprecated,2021-12-10T02:00:32,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:31
aiohttp,3.7.4.post0,deprecated,2021-12-17T02:01:51,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:32
aiohttp,3.7.4.post0,deprecated,2021-12-31T02:01:24,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:33
aiohttp,3.8.0,deprecated,2022-01-07T02:00:41,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:34
aiohttp,3.8.0,latest,,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aiohttp:35
ansible,2.9.13,latest,,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-ansible:19
arrow,1.1.1,deprecated,2021-12-03T02:01:20,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-arrow:15
arrow,1.2.0,deprecated,2021-12-24T02:00:26,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-arrow:16
arrow,1.2.1,latest,,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-arrow:17
asyncio,3.4.3,latest,,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-asyncio:1
aws-lambda-powertools,1.20.2,deprecated,2021-11-12T02:02:53,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:91
aws-lambda-powertools,1.20.2,deprecated,2021-11-19T02:01:02,arn:aws:lambda:us-east-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:92
